item_id,rank,title,url
989772699900,1,0905尾款 明日方舟 日服6周年fes 脸颊贴贴磁吸团子挂件 周边补款 官方正版 圣约能天使 布 ¥ 104 100+人收货 广东 东莞 包邮 梦谷小屋,https://item.taobao.com/item.htm?id=989772699900
995038309265,4,明日方舟通行证48.0 新约能天使一对 维什戴尔塑心 黍 代餐三层 蕾缪安 亚克力 在售 ¥ 38 .32 补贴后 26人收货 浙江 金华 淘金币已抵1.18元 退货宝 48小时内发 精选动漫周边,https://item.taobao.com/item.htm?id=995038309265
950224795262,6,辉夜白兔原创新约能天使明日方舟二次元游戏周边可定制等身抱枕套 新约能天使 抱枕/靠垫 毛绒 ¥ 69 优惠后 15人收货 浙江 金华 包邮 辉夜白兔の抱枕小屋,https://item.taobao.com/item.htm?id=950224795262
1052812808029,8,新约能天使明日方舟元喵创造社原厂热升华动漫游戏二次元周边键帽 在售 12岁以上 12岁及以上 ¥ 85 优惠后 12人收货 福建 厦门 48小时内发 包邮 元喵创造社YMiao,https://item.taobao.com/item.htm?id=1052812808029
996810327723,10,正版同人原创奇思妙想手作明日方舟新约能天使手链手绳周边非DIY ¥ 15 .06 补贴后 10人收货 广东 广州 淘金币已抵0.34元 包邮 公益宝贝 奇思妙想手作,https://item.taobao.com/item.htm?id=996810327723
934621870094,11,现货丨明日方舟新约能天使蕾缪安周边挂件吧唧流麻徽章镭射塔罗拍 入选明日方舟衍生店铺 榜 徽章/纽扣 新约能天使、蕾缪安 多材质 ¥ 5 .34 补贴后 9人收货 河北 张家口 淘金币已抵0.16元 6年老店 星屑剧团,https://item.taobao.com/item.htm?id=934621870094
955652255777,13,明日方舟同人周边蕾缪安新约能天使色纸亚克力挂件摇摇乐仓鼠饭团 蕾缪安 亚克力 同人版 ¥ 16 6人收货 上海 可口大米仓,https://item.taobao.com/item.htm?id=955652255777
968738826958,15,辉夜白兔原创新约能天使明日方舟二次元游戏周边可定制等身抱枕套 新约能天使 抱枕/靠垫 毛绒 ¥ 69 优惠后 5人收货 浙江 金华 包邮 辉夜白兔の抱枕小屋,https://item.taobao.com/item.htm?id=968738826958
1027432207191,18,苹果乐毛绒挂件明日方舟游戏周边 新约能天使毛绒挂件 ¥ 41 .88 4人收货 浙江 金华 包邮 哲猫生活馆,https://item.taobao.com/item.htm?id=1027432207191
991484145689,19,明日方舟 m3通行证一对 47.0 mon3tr 拉普兰德新约能天使代餐三层 拉普兰德 1 在售 ¥ 38 .16 补贴后 4人收货 河南 郑州 淘金币已抵1.17元 退货宝 48小时内发 精选动漫周边,https://item.taobao.com/item.htm?id=991484145689
1017330437805,20,苹果乐毛绒挂件明日方舟游戏周边 新约能天使毛绒挂件 限量发售 苹果乐 ¥ 42 .8 4人收货 广东 深圳 包邮 玫瑰西瓜冰,https://item.taobao.com/item.htm?id=1017330437805
926483003272,22,灵梦次元社明日方舟新约能天使PBT热升华动漫周边二次元键盘键帽 入选二次元键帽店铺 榜 键盘 在售 8周岁以上 ¥ 90 优惠后 3人收货 福建 厦门 包邮 灵梦次元社,https://item.taobao.com/item.htm?id=926483003272
1010999701769,23,【现货】明日方舟通行认证48.0系列蕾缪安新约能天使酒神周边挂件 新约能天使 亚克力 在售 ¥ 45 .4 补贴后 3人收货 北京 淘金币已抵1.4元 48小时内发 包邮 日系谷子补给站,https://item.taobao.com/item.htm?id=1010999701769
916798377958,24,现货丨明日方舟岁家余周边徽章拍立得镭射明信片色纸云母界园吧唧 徽章/纽扣 新约能天使、蕾缪安 亚克力 ¥ 5 .34 补贴后 3人收货 北京 淘金币已抵0.16元 6年老店 星屑剧团,https://item.taobao.com/item.htm?id=916798377958
994846667112,26,【预售】No.1 laterano 蕾缪安新约能天使 明日方舟同人周边徽章 徽章/纽扣 蕾缪安 马口铁 ¥ 5 3人收货 上海 零维海,https://item.taobao.com/item.htm?id=994846667112
1041034768550,32,凯尔希等身抱枕mon3tr靠枕m3阿能天使谷子明日方舟令黍姐夕宝周边 凯尔希/mon3tr/m3/能天使/新约能天使/阿能/令姐/黍姐/夕宝/诗怀雅/蕾缪安 等身抱枕 桃皮绒、毛毛绒、2WAY ¥ 54 .12 优惠后 2人收货 广东 佛山 30天价保 包邮 公益宝贝 7年老店 小毛动漫二次元,https://item.taobao.com/item.htm?id=1041034768550
1059412986961,33,正版同人原创手作明日方舟新约能天使手链手绳周边非DIY ¥ 13 .18 补贴后 2人收货 广东 广州 淘金币已抵0.3元 包邮 公益宝贝 奇思妙想手作,https://item.taobao.com/item.htm?id=1059412986961
919151647329,34,明日方舟三层工艺亚克力通行证二次元周边新约能天使蕾缪安挂件 卡片/信纸 能天使蕾缪安 亚克力 ¥ 9 .99 2人收货 浙江 金华 48小时内发 包邮 10年老店 课桌小宇宙,https://item.taobao.com/item.htm?id=919151647329
1043973319048,36,苹果乐毛绒挂件明日方舟游戏周边 新约能天使毛绒挂件 限量发售 苹果乐 ¥ 41 .88 2人收货 浙江 金华 包邮 清喜小仓铺,https://item.taobao.com/item.htm?id=1043973319048
1031978980861,37,明日方舟 黍春日宴皮肤通行证一对维什戴尔新约能天使三层代餐 维什戴尔 亚克力 在售 ¥ 37 .9 补贴后 2人收货 河南 郑州 淘金币已抵1.17元 退货宝 48小时内发 精选动漫周边,https://item.taobao.com/item.htm?id=1031978980861
956543896771,38,猫爪在上原创明日方舟新约能天使抱枕等身枕套能天使周边等身抱枕 新约能天使 抱枕/靠垫 新2way ¥ 59 优惠后 2人收货 江苏 南通 包邮 猫爪在上漫品,https://item.taobao.com/item.htm?id=956543896771
1048481342377,40,苹果乐毛绒挂件明日方舟游戏周边 新约能天使毛绒挂件 ¥ 41 .9 1人收货 广东 惠州 包邮 合众百货供应链企业店,https://item.taobao.com/item.htm?id=1048481342377
1076776801927,41,【天空的回响】新约能天使/蕾缪安 明日方舟同人游戏周边送礼 新约能天使/蕾缪安 在售 同人版 ¥ 9 1人收货 湖北 武汉 兔兔全肯定,https://item.taobao.com/item.htm?id=1076776801927
970236122639,42,明日方舟周边新约能天使挂件亚克力精美挂件谷子二次元周边收藏 ¥ 6 .8 1人收货 广东 深圳 包邮 奶酪Cheese,https://item.taobao.com/item.htm?id=970236122639
966701392536,44,AA 明日方舟-蕾缪安 新约能天使同人周边镭射票小卡徽章 卡片/信纸 蕾缪安 纸制品 ¥ 4 .8 1人收货 贵州 贵阳 11年老店 呜喵王的店,https://item.taobao.com/item.htm?id=966701392536
1014270593927,45,浅草萌物原创-明日方舟-新约能天使 二次元游戏动漫周边等身抱枕 能天使 等身抱枕 2way ¥ 114 优惠后 1人收货 浙江 金华 退货宝 包邮 浅草萌物,https://item.taobao.com/item.htm?id=1014270593927
919638549122,46,明日方舟精二大立牌新约能天使蕾缪安信仰搅拌机六周年众生行纪 钥匙扣/小挂件 亚克力 预售 ¥ 16 1人收货 浙江 金华 包邮 只是一家周边店,https://item.taobao.com/item.htm?id=919638549122
949209549991,47,明日方舟三层工艺亚克力通行证二次元周边新约能天使蕾缪安挂件 ¥ 17 .9 1人收货 浙江 金华 包邮 不吃文具,https://item.taobao.com/item.htm?id=949209549991
970699315269,48,明日方舟周边新约能天使遥伊内丝云迹斩业星熊Q版钥匙扣挂件礼物 伊内丝 亚克力 在售 ¥ 12 .8 1人收货 湖南 长沙 包邮 8年老店 宅萌动漫,https://item.taobao.com/item.htm?id=970699315269
