event_at,entity_type,entity_id,change_type,field_name,old_value,new_value,source,is_simulated
2026-09-05T00:00:00+08:00,internal_sku,AK-0071,CREATE_BASELINE,product_master,,Mon3tr 亚克力制品,simulated_erp_sku_master,True
2026-09-05T00:00:00+08:00,internal_sku,AK-0073,CREATE_BASELINE,product_master,,Mon3tr 吧唧（徽章）,simulated_erp_sku_master,True
2026-09-05T00:00:00+08:00,internal_sku,AK-0076,CREATE_BASELINE,product_master,,Mon3tr 装饰摆件,simulated_erp_sku_master,True
2026-09-05T00:00:00+08:00,internal_sku,AK-0075,CREATE_BASELINE,product_master,,Mon3tr 手办模玩,simulated_erp_sku_master,True
2026-09-05T00:00:00+08:00,internal_sku,AK-0077,CREATE_BASELINE,product_master,,Mon3tr 日用生活,simulated_erp_sku_master,True
2026-09-05T00:00:00+08:00,internal_sku,AK-0072,CREATE_BASELINE,product_master,,Mon3tr 通行证,simulated_erp_sku_master,True
2026-09-05T00:00:00+08:00,internal_sku,AK-0074,CREATE_BASELINE,product_master,,Mon3tr 毛绒玩偶,simulated_erp_sku_master,True
2026-09-05T00:00:00+08:00,internal_sku,AK-0015,CREATE_BASELINE,product_master,,予愿安洁莉娜 亚克力制品,simulated_erp_sku_master,True
2026-09-05T00:00:00+08:00,internal_sku,AK-0017,CREATE_BASELINE,product_master,,予愿安洁莉娜 吧唧（徽章）,simulated_erp_sku_master,True
2026-09-05T00:00:00+08:00,internal_sku,AK-0020,CREATE_BASELINE,product_master,,予愿安洁莉娜 装饰摆件,simulated_erp_sku_master,True
2026-09-05T00:00:00+08:00,internal_sku,AK-0019,CREATE_BASELINE,product_master,,予愿安洁莉娜 手办模玩,simulated_erp_sku_master,True
2026-09-05T00:00:00+08:00,internal_sku,AK-0021,CREATE_BASELINE,product_master,,予愿安洁莉娜 日用生活,simulated_erp_sku_master,True
2026-09-05T00:00:00+08:00,internal_sku,AK-0016,CREATE_BASELINE,product_master,,予愿安洁莉娜 通行证,simulated_erp_sku_master,True
2026-09-05T00:00:00+08:00,internal_sku,AK-0018,CREATE_BASELINE,product_master,,予愿安洁莉娜 毛绒玩偶,simulated_erp_sku_master,True
2026-09-05T00:00:00+08:00,internal_sku,AK-0148,CREATE_BASELINE,product_master,,余 亚克力制品,simulated_erp_sku_master,True
2026-09-05T00:00:00+08:00,internal_sku,AK-0150,CREATE_BASELINE,product_master,,余 吧唧（徽章）,simulated_erp_sku_master,True
2026-09-05T00:00:00+08:00,internal_sku,AK-0153,CREATE_BASELINE,product_master,,余 装饰摆件,simulated_erp_sku_master,True
2026-09-05T00:00:00+08:00,internal_sku,AK-0152,CREATE_BASELINE,product_master,,余 手办模玩,simulated_erp_sku_master,True
2026-09-05T00:00:00+08:00,internal_sku,AK-0154,CREATE_BASELINE,product_master,,余 日用生活,simulated_erp_sku_master,True
2026-09-05T00:00:00+08:00,internal_sku,AK-0149,CREATE_BASELINE,product_master,,余 通行证,simulated_erp_sku_master,True
2026-09-05T00:00:00+08:00,internal_sku,AK-0151,CREATE_BASELINE,product_master,,余 毛绒玩偶,simulated_erp_sku_master,True
2026-09-05T00:00:00+08:00,internal_sku,AK-0183,CREATE_BASELINE,product_master,,佩佩 亚克力制品,simulated_erp_sku_master,True
2026-09-05T00:00:00+08:00,internal_sku,AK-0185,CREATE_BASELINE,product_master,,佩佩 吧唧（徽章）,simulated_erp_sku_master,True
2026-09-05T00:00:00+08:00,internal_sku,AK-0188,CREATE_BASELINE,product_master,,佩佩 装饰摆件,simulated_erp_sku_master,True
2026-09-05T00:00:00+08:00,internal_sku,AK-0187,CREATE_BASELINE,product_master,,佩佩 手办模玩,simulated_erp_sku_master,True
2026-09-05T00:00:00+08:00,internal_sku,AK-0189,CREATE_BASELINE,product_master,,佩佩 日用生活,simulated_erp_sku_master,True
2026-09-05T00:00:00+08:00,internal_sku,AK-0184,CREATE_BASELINE,product_master,,佩佩 通行证,simulated_erp_sku_master,True
2026-09-05T00:00:00+08:00,internal_sku,AK-0186,CREATE_BASELINE,product_master,,佩佩 毛绒玩偶,simulated_erp_sku_master,True
2026-09-05T00:00:00+08:00,internal_sku,AK-0050,CREATE_BASELINE,product_master,,凛御银灰 亚克力制品,simulated_erp_sku_master,True
2026-09-05T00:00:00+08:00,internal_sku,AK-0052,CREATE_BASELINE,product_master,,凛御银灰 吧唧（徽章）,simulated_erp_sku_master,True
2026-09-05T00:00:00+08:00,internal_sku,AK-0055,CREATE_BASELINE,product_master,,凛御银灰 装饰摆件,simulated_erp_sku_master,True
2026-09-05T00:00:00+08:00,internal_sku,AK-0054,CREATE_BASELINE,product_master,,凛御银灰 手办模玩,simulated_erp_sku_master,True
2026-09-05T00:00:00+08:00,internal_sku,AK-0056,CREATE_BASELINE,product_master,,凛御银灰 日用生活,simulated_erp_sku_master,True
2026-09-05T00:00:00+08:00,internal_sku,AK-0051,CREATE_BASELINE,product_master,,凛御银灰 通行证,simulated_erp_sku_master,True
2026-09-05T00:00:00+08:00,internal_sku,AK-0053,CREATE_BASELINE,product_master,,凛御银灰 毛绒玩偶,simulated_erp_sku_master,True
2026-09-05T00:00:00+08:00,internal_sku,AK-0008,CREATE_BASELINE,product_master,,凯尔希·思衡托 亚克力制品,simulated_erp_sku_master,True
2026-09-05T00:00:00+08:00,internal_sku,AK-0010,CREATE_BASELINE,product_master,,凯尔希·思衡托 吧唧（徽章）,simulated_erp_sku_master,True
2026-09-05T00:00:00+08:00,internal_sku,AK-0013,CREATE_BASELINE,product_master,,凯尔希·思衡托 装饰摆件,simulated_erp_sku_master,True
2026-09-05T00:00:00+08:00,internal_sku,AK-0012,CREATE_BASELINE,product_master,,凯尔希·思衡托 手办模玩,simulated_erp_sku_master,True
2026-09-05T00:00:00+08:00,internal_sku,AK-0014,CREATE_BASELINE,product_master,,凯尔希·思衡托 日用生活,simulated_erp_sku_master,True
2026-09-05T00:00:00+08:00,internal_sku,AK-0009,CREATE_BASELINE,product_master,,凯尔希·思衡托 通行证,simulated_erp_sku_master,True
2026-09-05T00:00:00+08:00,internal_sku,AK-0011,CREATE_BASELINE,product_master,,凯尔希·思衡托 毛绒玩偶,simulated_erp_sku_master,True
2026-09-05T00:00:00+08:00,internal_sku,AK-0141,CREATE_BASELINE,product_master,,司霆惊蛰 亚克力制品,simulated_erp_sku_master,True
