sku_id,operator,category,heat_score,price,unit_cost,live_fit,production_risk,page_views,orders,launch_inventory,sold_units,return_units,is_simulated,simulation_seed,gross_margin_rate,sell_through_rate,conversion_rate,return_rate,gmv,inventory_risk,selection_score,recommendation
凯尔希·思衡托-色纸,凯尔希·思衡托,色纸,68.4032,30.0,8.4,0.75,0.15,5790,519,602,523,10,True,20260901,0.7200000000000001,0.8687707641196013,0.08963730569948186,0.019120458891013385,15690.0,7.069892473118282,75.53977720430107,重点推荐
新约能天使-徽章,新约能天使,徽章,71.0,18.0,5.4,0.9,0.15,6346,560,800,695,22,True,20260901,0.7,0.86875,0.08824456350456981,0.031654676258992806,12510.0,21.115591397849467,72.11317204301075,重点推荐
新约能天使-色纸,新约能天使,色纸,71.0,30.0,8.4,0.75,0.15,5007,413,622,540,5,True,20260901,0.7200000000000001,0.8681672025723473,0.08248452166966247,0.009259259259259259,16200.0,13.99193548387097,71.27177419354838,重点推荐
纯烬艾雅法拉-徽章,纯烬艾雅法拉,徽章,59.3571,18.0,5.4,0.9,0.15,5601,511,678,589,14,True,20260901,0.7,0.8687315634218289,0.091233708266381,0.023769100169779286,10602.0,11.693548387096776,70.69153860215054,重点推荐
焰狐龙梓兰-色纸,焰狐龙梓兰,色纸,58.8065,30.0,8.4,0.75,0.15,4730,401,554,481,12,True,20260901,0.7200000000000001,0.868231046931408,0.08477801268498943,0.02494802494802495,14430.0,19.301075268817204,69.0182940860215,重点推荐
凯尔希·思衡托-徽章,凯尔希·思衡托,徽章,68.4032,18.0,5.4,0.9,0.15,6116,507,705,612,13,True,20260901,0.7,0.8680851063829788,0.0828973185088293,0.021241830065359478,11016.0,17.09677419354839,68.83278795698926,重点推荐
丰川祥子-徽章,丰川祥子,徽章,61.7419,18.0,5.4,0.9,0.15,5146,441,585,508,15,True,20260901,0.7,0.8683760683760684,0.08569762922658375,0.02952755905511811,9144.0,22.002688172043005,67.95670978494624,重点推荐
死芒-徽章,死芒,徽章,49.3226,18.0,5.4,0.9,0.15,4896,435,541,470,12,True,20260901,0.7,0.8687615526802218,0.08884803921568628,0.02553191489361702,8460.0,12.446236559139784,67.1220488172043,重点推荐
予愿安洁莉娜-色纸,予愿安洁莉娜,色纸,62.1728,30.0,8.4,0.75,0.15,4545,373,523,454,13,True,20260901,0.7200000000000001,0.8680688336520076,0.08206820682068207,0.028634361233480177,13620.0,25.618279569892472,66.81581849462366,重点推荐
荒芜拉普兰德-徽章,荒芜拉普兰德,徽章,52.1452,18.0,5.4,0.9,0.15,5977,524,639,555,15,True,20260901,0.7,0.8685446009389671,0.08766939936422954,0.02702702702702703,9990.0,16.50537634408602,66.59517290322582,重点推荐
重岳-徽章,重岳,徽章,52.2581,18.0,5.4,0.9,0.15,5825,510,729,633,17,True,20260901,0.7,0.8683127572016461,0.08755364806866953,0.026856240126382307,11394.0,19.220430107526887,66.19624720430107,重点推荐
凯尔希·思衡托-亚克力立牌,凯尔希·思衡托,亚克力立牌,68.4032,48.0,16.8,0.85,0.25,5681,502,656,553,18,True,20260901,0.65,0.8429878048780488,0.08836472452033092,0.0325497287522604,26544.0,38.0510752688172,66.12983096774192,重点推荐
司霆惊蛰-徽章,司霆惊蛰,徽章,46.5,18.0,5.4,0.9,0.15,5569,495,671,583,17,True,20260901,0.7,0.8688524590163934,0.08888489854551984,0.029159519725557463,10494.0,15.900537634408604,66.09112903225807,重点推荐
赤刃明霄陈-徽章,赤刃明霄陈,徽章,58.8065,18.0,5.4,0.9,0.15,5940,497,629,546,17,True,20260901,0.7,0.8680445151033387,0.08367003367003367,0.031135531135531136,9828.0,28.091397849462364,65.49947688172043,重点推荐
缄默德克萨斯-徽章,缄默德克萨斯,徽章,50.7903,18.0,5.4,0.9,0.15,5263,459,623,541,19,True,20260901,0.7,0.8683788121990369,0.08721261637849136,0.03512014787430684,9738.0,26.881720430107528,64.82848784946238,常规上架
新约能天使-亚克力立牌,新约能天使,亚克力立牌,71.0,48.0,16.8,0.85,0.25,5888,493,726,612,19,True,20260901,0.65,0.8429752066115702,0.08372961956521739,0.03104575163398693,29376.0,35.98118279569893,64.69650537634409,常规上架
司霆惊蛰-色纸,司霆惊蛰,色纸,46.5,30.0,8.4,0.75,0.15,4770,392,550,478,10,True,20260901,0.7200000000000001,0.8690909090909091,0.08218029350104822,0.02092050209205021,14340.0,4.1935483870967705,64.41774193548387,常规上架
予愿安洁莉娜-亚克力立牌,予愿安洁莉娜,亚克力立牌,62.1728,48.0,16.8,0.85,0.25,5395,478,630,531,21,True,20260901,0.65,0.8428571428571429,0.08860055607043558,0.03954802259887006,25488.0,44.166666666666664,63.81044215053763,常规上架
凛御银灰-徽章,凛御银灰,徽章,56.7742,18.0,5.4,0.9,0.15,6626,542,727,631,15,True,20260901,0.7,0.8679504814305364,0.08179897373981286,0.02377179080824089,11358.0,21.397849462365595,62.978496559139785,常规上架
丰川祥子-色纸,丰川祥子,色纸,61.7419,30.0,8.4,0.75,0.15,5356,411,557,484,12,True,20260901,0.7200000000000001,0.8689407540394973,0.07673637042569081,0.024793388429752067,14520.0,8.763440860215054,62.88816139784946,常规上架
