item_id,operator,category,raw_text,url,query,query_scope,first_seen_at,snapshot_at,observation_count,rank,price,sales_proxy_min,sales_metric_note,rights_type,fulfillment_type,next_capture_due,tracking_status
1030292586188,未归因,亚克力立牌,明日方舟通行证挂绳黑色挂绳挂钩挂扣挂件周边官挂现货保护套卡套 在售 12岁以上 ¥ 6 .9 400+人收货 山东 滨州 退货宝 48小时内发 包邮 万事屋の,https://item.taobao.com/item.htm?id=1030292586188,明日方舟 周边,market_baseline,2026-09-02T03:55:00+00:00,2026-09-02T03:55:00+00:00,1,1,6.9,400.0,displayed_lower_bound_censored,未标明,现货/在售,2026-09-09,baseline_pending_recapture
1065694412211,未归因,毛绒抱枕,明日方舟周边龙泡泡小笼泡毛绒玩偶公仔包包钥匙挂件送女生日礼物 龙泡泡 毛绒公仔 绒布 ¥ 26 .59 优惠后 300+人收货 浙江 金华 超级立减15% 48小时内发 包邮 王林祥的百宝箱,https://item.taobao.com/item.htm?id=1065694412211,明日方舟 周边,market_baseline,2026-09-02T03:55:00+00:00,2026-09-02T03:55:00+00:00,1,2,26.59,300.0,displayed_lower_bound_censored,未标明,现货/在售,2026-09-09,baseline_pending_recapture
1074401899214,未归因,毛绒抱枕,明日方舟周边阿米娅山山兔毛绒玩偶朝陇山包包钥匙可爱小玩偶挂件 品牌新客补贴，当日有效 阿米娅 毛绒公仔 绒布 ¥ 29 .87 首单价 300+人收货 浙江 金华 直降3元 48小时内发 包邮 王林祥的百宝箱,https://item.taobao.com/item.htm?id=1074401899214,明日方舟 周边,market_baseline,2026-09-02T03:55:00+00:00,2026-09-02T03:55:00+00:00,1,3,29.87,300.0,displayed_lower_bound_censored,未标明,现货/在售,2026-09-09,baseline_pending_recapture
948765508943,凯尔希·思衡托,毛绒抱枕,【正版官谷】明日方舟山山兔逻各斯拉普兰德凯尔希澄闪 正版周边 荒芜拉普兰德逻各斯澄闪 毛绒公仔 现货 ¥ 69 200+人收货 江苏 无锡 退货宝 48小时内发 公益宝贝 舟游纪,https://item.taobao.com/item.htm?id=948765508943,明日方舟 周边,market_baseline,2026-09-02T03:55:00+00:00,2026-09-02T03:55:00+00:00,1,4,69.0,200.0,displayed_lower_bound_censored,官方/授权,现货/在售,2026-09-09,baseline_pending_recapture
989772699900,新约能天使,毛绒抱枕,0905尾款 明日方舟 日服6周年fes 脸颊贴贴磁吸团子挂件 周边补款 官方正版 圣约能天使 布 ¥ 104 100+人收货 广东 东莞 包邮 梦谷小屋,https://item.taobao.com/item.htm?id=989772699900,明日方舟 新约能天使 周边,targeted,2026-09-02T03:46:26+00:00,2026-09-02T03:46:26+00:00,1,1,104.0,100.0,displayed_lower_bound_censored,官方/授权,预售/补款,2026-09-09,baseline_pending_recapture
991098521939,未归因,徽章吧唧,0826尾款 明日方舟 日服6周年fes 值日担当 徽章立牌 周边补款 官方正版 阿米娅 亚克力 ¥ 106 100+人收货 广东 东莞 包邮 梦谷小屋,https://item.taobao.com/item.htm?id=991098521939,明日方舟 周边,market_baseline,2026-09-02T03:55:00+00:00,2026-09-02T03:55:00+00:00,1,5,106.0,100.0,displayed_lower_bound_censored,官方/授权,预售/补款,2026-09-09,baseline_pending_recapture
823963830706,佩佩,其他周边,明日方舟镭射扑克牌维什戴尔佩佩逻各斯黍塑心花切收藏卡牌周边 扑克牌 维什 ¥ 28 .41 补贴后 100+人收货 安徽 合肥 淘金币已抵1.49元 退货宝 包邮 6年老店 漫游丶文创空间,https://item.taobao.com/item.htm?id=823963830706,明日方舟 周边,market_baseline,2026-09-02T03:55:00+00:00,2026-09-02T03:55:00+00:00,1,6,28.41,100.0,displayed_lower_bound_censored,未标明,未标明,2026-09-09,baseline_pending_recapture
1047482947398,未归因,亚克力立牌,明日方舟特蕾西忠心唤醒钥匙抽拉蛋扣二次元可爱书包背包亚克力 ¥ 12 100+人收货 浙江 温州 包邮 奕造周边定制,https://item.taobao.com/item.htm?id=1047482947398,明日方舟 周边,market_baseline,2026-09-02T03:55:00+00:00,2026-09-02T03:55:00+00:00,1,7,12.0,100.0,displayed_lower_bound_censored,未标明,未标明,2026-09-09,baseline_pending_recapture
976192942192,未归因,亚克力立牌,明日方舟周边便符界园肉鸽魔改亚克力通行证挂件收藏送朋友钥匙扣 界园肉鸽 亚克力 在售 ¥ 6 .87 补贴后 100+人收货 江西 上饶 超级立减10% 淘金币已抵0.15元 退货宝 新起点文化百货用品店,https://item.taobao.com/item.htm?id=976192942192,明日方舟 周边,market_baseline,2026-09-02T03:55:00+00:00,2026-09-02T03:55:00+00:00,1,8,6.87,100.0,displayed_lower_bound_censored,未标明,现货/在售,2026-09-09,baseline_pending_recapture
1066058147311,未归因,毛绒抱枕,明日方舟周边黍龙泡泡毛绒玩偶小笼泡挂件可爱毛绒公仔生日礼物女 毛绒公仔 绒布 在售 ¥ 32 .81 100+人收货 浙江 金华 超级立减15% 包邮 公益宝贝 王林祥的百宝箱,https://item.taobao.com/item.htm?id=1066058147311,明日方舟 周边,market_baseline,2026-09-02T03:55:00+00:00,2026-09-02T03:55:00+00:00,1,9,32.81,100.0,displayed_lower_bound_censored,未标明,现货/在售,2026-09-09,baseline_pending_recapture
1043523130588,未归因,其他周边,明日方舟Q版维维美手办维什戴尔W模型潮玩摆件gk美少女雕像周边 现货 14周岁以上 ¥ 18 .9 优惠后 100+人收货 福建 厦门 退货宝 48小时内发 包邮 小桃动漫周边小店,https://item.taobao.com/item.htm?id=1043523130588,明日方舟 周边,market_baseline,2026-09-02T03:55:00+00:00,2026-09-02T03:55:00+00:00,1,10,18.9,100.0,displayed_lower_bound_censored,未标明,现货/在售,2026-09-09,baseline_pending_recapture
991101209717,未归因,徽章吧唧,0826尾款 明日方舟 日服6周年fes SP名扎ID卡亚克力徽章 周边补款 官方正版 阿米娅 亚克力 ¥ 212 100+人收货 广东 东莞 包邮 梦谷小屋,https://item.taobao.com/item.htm?id=991101209717,明日方舟 周边,market_baseline,2026-09-02T03:55:00+00:00,2026-09-02T03:55:00+00:00,1,11,212.0,100.0,displayed_lower_bound_censored,官方/授权,预售/补款,2026-09-09,baseline_pending_recapture
923244694850,未归因,其他周边,明日方舟罗德岛龙门币COS道具杰西卡富婆手游周边实体上礼红包 龙门币 游戏道具模型 DIY ¥ 4 .83 100+人收货 浙江 金华 48小时内发 包邮 汐冉漫潮,https://item.taobao.com/item.htm?id=923244694850,明日方舟 周边,market_baseline,2026-09-02T03:55:00+00:00,2026-09-02T03:55:00+00:00,1,13,4.83,100.0,displayed_lower_bound_censored,未标明,现货/在售,2026-09-09,baseline_pending_recapture
