response_id,valid,exclusion_reason
REAL-ARK-SURVEY-20260903-001,True,
REAL-ARK-SURVEY-20260903-002,True,
REAL-ARK-SURVEY-20260903-003,True,
REAL-ARK-SURVEY-20260903-004,True,
REAL-ARK-SURVEY-20260903-005,True,
REAL-ARK-SURVEY-20260903-006,True,
REAL-ARK-SURVEY-20260903-007,True,
REAL-ARK-SURVEY-20260903-008,True,
REAL-ARK-SURVEY-20260903-009,True,
REAL-ARK-SURVEY-20260903-010,True,
REAL-ARK-SURVEY-20260903-011,True,
REAL-ARK-SURVEY-20260903-012,True,
REAL-ARK-SURVEY-20260903-013,True,
REAL-ARK-SURVEY-20260903-014,True,
REAL-ARK-SURVEY-20260903-015,True,
REAL-ARK-SURVEY-20260903-016,True,
REAL-ARK-SURVEY-20260903-017,True,
REAL-ARK-SURVEY-20260903-018,True,
REAL-ARK-SURVEY-20260903-019,True,
REAL-ARK-SURVEY-20260903-020,True,
REAL-ARK-SURVEY-20260903-021,True,
REAL-ARK-SURVEY-20260903-022,True,
REAL-ARK-SURVEY-20260903-023,True,
REAL-ARK-SURVEY-20260903-024,True,
REAL-ARK-SURVEY-20260903-025,True,
REAL-ARK-SURVEY-20260903-026,True,
REAL-ARK-SURVEY-20260903-027,True,
REAL-ARK-SURVEY-20260903-028,True,
REAL-ARK-SURVEY-20260903-029,True,
REAL-ARK-SURVEY-20260903-030,True,
REAL-ARK-SURVEY-20260903-031,True,
REAL-ARK-SURVEY-20260903-032,True,
REAL-ARK-SURVEY-20260903-033,True,
REAL-ARK-SURVEY-20260903-034,True,
REAL-ARK-SURVEY-20260903-035,True,
REAL-ARK-SURVEY-20260903-036,True,
REAL-ARK-SURVEY-20260903-037,True,
REAL-ARK-SURVEY-20260903-038,True,
REAL-ARK-SURVEY-20260903-039,True,
REAL-ARK-SURVEY-20260903-040,True,
REAL-ARK-SURVEY-20260903-041,True,
REAL-ARK-SURVEY-20260903-042,True,
REAL-ARK-SURVEY-20260903-043,True,
REAL-ARK-SURVEY-20260903-044,True,
REAL-ARK-SURVEY-20260903-045,True,
REAL-ARK-SURVEY-20260903-046,True,
REAL-ARK-SURVEY-20260903-047,True,
REAL-ARK-SURVEY-20260903-048,True,
REAL-ARK-SURVEY-20260903-049,True,
REAL-ARK-SURVEY-20260903-050,True,
REAL-ARK-SURVEY-20260903-051,True,
REAL-ARK-SURVEY-20260903-052,True,
REAL-ARK-SURVEY-20260903-053,True,
REAL-ARK-SURVEY-20260903-054,True,
REAL-ARK-SURVEY-20260903-055,True,
REAL-ARK-SURVEY-20260903-056,True,
REAL-ARK-SURVEY-20260903-057,True,
REAL-ARK-SURVEY-20260903-058,True,
REAL-ARK-SURVEY-20260903-059,True,
REAL-ARK-SURVEY-20260903-060,True,
REAL-ARK-SURVEY-20260903-061,True,
REAL-ARK-SURVEY-20260903-062,True,
REAL-ARK-SURVEY-20260903-063,True,
REAL-ARK-SURVEY-20260903-064,True,
REAL-ARK-SURVEY-20260903-065,True,
REAL-ARK-SURVEY-20260903-066,True,
REAL-ARK-SURVEY-20260903-067,True,
REAL-ARK-SURVEY-20260903-068,True,
REAL-ARK-SURVEY-20260903-069,True,
REAL-ARK-SURVEY-20260903-070,True,
REAL-ARK-SURVEY-20260903-071,True,
REAL-ARK-SURVEY-20260903-072,True,
REAL-ARK-SURVEY-20260903-073,True,
REAL-ARK-SURVEY-20260903-074,True,
REAL-ARK-SURVEY-20260903-075,True,
REAL-ARK-SURVEY-20260903-076,True,
REAL-ARK-SURVEY-20260903-077,True,
REAL-ARK-SURVEY-20260903-078,True,
REAL-ARK-SURVEY-20260903-079,True,
REAL-ARK-SURVEY-20260903-080,True,
REAL-ARK-SURVEY-20260903-081,True,
REAL-ARK-SURVEY-20260903-082,True,
REAL-ARK-SURVEY-20260903-083,True,
REAL-ARK-SURVEY-20260903-084,True,
REAL-ARK-SURVEY-20260903-085,True,
REAL-ARK-SURVEY-20260903-086,True,
REAL-ARK-SURVEY-20260903-087,True,
REAL-ARK-SURVEY-20260903-088,True,
REAL-ARK-SURVEY-20260903-089,True,
REAL-ARK-SURVEY-20260903-090,True,
REAL-ARK-SURVEY-20260903-091,True,
REAL-ARK-SURVEY-20260903-092,True,
REAL-ARK-SURVEY-20260903-093,True,
REAL-ARK-SURVEY-20260903-094,True,
REAL-ARK-SURVEY-20260903-095,True,
REAL-ARK-SURVEY-20260903-096,True,
REAL-ARK-SURVEY-20260903-097,True,
REAL-ARK-SURVEY-20260903-098,True,
REAL-ARK-SURVEY-20260903-099,True,
REAL-ARK-SURVEY-20260903-100,True,
REAL-ARK-SURVEY-20260903-101,True,
REAL-ARK-SURVEY-20260903-102,True,
REAL-ARK-SURVEY-20260903-103,True,
REAL-ARK-SURVEY-20260903-104,True,
REAL-ARK-SURVEY-20260903-105,True,
REAL-ARK-SURVEY-20260903-106,True,
REAL-ARK-SURVEY-20260903-107,True,
REAL-ARK-SURVEY-20260903-108,True,
REAL-ARK-SURVEY-20260903-109,True,
REAL-ARK-SURVEY-20260903-110,True,
REAL-ARK-SURVEY-20260903-111,True,
REAL-ARK-SURVEY-20260903-112,True,
REAL-ARK-SURVEY-20260903-113,True,
REAL-ARK-SURVEY-20260903-114,True,
REAL-ARK-SURVEY-20260903-115,True,
REAL-ARK-SURVEY-20260903-116,True,
REAL-ARK-SURVEY-20260903-117,True,
REAL-ARK-SURVEY-20260903-118,True,
REAL-ARK-SURVEY-20260903-119,True,
REAL-ARK-SURVEY-20260903-120,True,
REAL-ARK-SURVEY-20260903-121,True,
REAL-ARK-SURVEY-20260903-122,True,
REAL-ARK-SURVEY-20260903-123,True,
REAL-ARK-SURVEY-20260903-124,True,
REAL-ARK-SURVEY-20260903-125,True,
REAL-ARK-SURVEY-20260903-126,True,
REAL-ARK-SURVEY-20260903-127,True,
REAL-ARK-SURVEY-20260903-128,True,
REAL-ARK-SURVEY-20260903-129,True,
REAL-ARK-SURVEY-20260903-130,True,
REAL-ARK-SURVEY-20260903-131,True,
REAL-ARK-SURVEY-20260903-132,True,
REAL-ARK-SURVEY-20260903-133,True,
REAL-ARK-SURVEY-20260903-134,True,
REAL-ARK-SURVEY-20260903-135,True,
REAL-ARK-SURVEY-20260903-136,True,
REAL-ARK-SURVEY-20260903-137,True,
REAL-ARK-SURVEY-20260903-138,True,
REAL-ARK-SURVEY-20260903-139,True,
REAL-ARK-SURVEY-20260903-140,True,
REAL-ARK-SURVEY-20260903-141,True,
REAL-ARK-SURVEY-20260903-142,True,
REAL-ARK-SURVEY-20260903-143,True,
REAL-ARK-SURVEY-20260903-144,True,
REAL-ARK-SURVEY-20260903-145,True,
REAL-ARK-SURVEY-20260903-146,True,
REAL-ARK-SURVEY-20260903-147,True,
REAL-ARK-SURVEY-20260903-148,True,
REAL-ARK-SURVEY-20260903-149,True,
REAL-ARK-SURVEY-20260903-150,True,
REAL-ARK-SURVEY-20260903-151,True,
REAL-ARK-SURVEY-20260903-152,True,
REAL-ARK-SURVEY-20260903-153,True,
REAL-ARK-SURVEY-20260903-154,True,
REAL-ARK-SURVEY-20260903-155,True,
REAL-ARK-SURVEY-20260903-156,True,
REAL-ARK-SURVEY-20260903-157,True,
REAL-ARK-SURVEY-20260903-158,True,
REAL-ARK-SURVEY-20260903-159,True,
REAL-ARK-SURVEY-20260903-160,True,
REAL-ARK-SURVEY-20260903-161,True,
REAL-ARK-SURVEY-20260903-162,True,
REAL-ARK-SURVEY-20260903-163,True,
REAL-ARK-SURVEY-20260903-164,True,
REAL-ARK-SURVEY-20260903-165,True,
REAL-ARK-SURVEY-20260903-166,True,
REAL-ARK-SURVEY-20260903-167,True,
REAL-ARK-SURVEY-20260903-168,True,
REAL-ARK-SURVEY-20260903-169,True,
REAL-ARK-SURVEY-20260903-170,True,
REAL-ARK-SURVEY-20260903-171,True,
REAL-ARK-SURVEY-20260903-172,True,
REAL-ARK-SURVEY-20260903-173,True,
REAL-ARK-SURVEY-20260903-174,True,
REAL-ARK-SURVEY-20260903-175,True,
REAL-ARK-SURVEY-20260903-176,True,
REAL-ARK-SURVEY-20260903-177,True,
REAL-ARK-SURVEY-20260903-178,True,
REAL-ARK-SURVEY-20260903-179,True,
REAL-ARK-SURVEY-20260903-180,True,
REAL-ARK-SURVEY-20260903-181,True,
REAL-ARK-SURVEY-20260903-182,True,
REAL-ARK-SURVEY-20260903-183,True,
REAL-ARK-SURVEY-20260903-184,True,
REAL-ARK-SURVEY-20260903-185,True,
REAL-ARK-SURVEY-20260903-186,True,
REAL-ARK-SURVEY-20260903-187,True,
REAL-ARK-SURVEY-20260903-188,True,
REAL-ARK-SURVEY-20260903-189,True,
REAL-ARK-SURVEY-20260903-190,True,
REAL-ARK-SURVEY-20260903-191,True,
REAL-ARK-SURVEY-20260903-192,True,
REAL-ARK-SURVEY-20260903-193,True,
REAL-ARK-SURVEY-20260903-194,True,
REAL-ARK-SURVEY-20260903-195,True,
REAL-ARK-SURVEY-20260903-196,True,
REAL-ARK-SURVEY-20260903-197,True,
REAL-ARK-SURVEY-20260903-198,True,
REAL-ARK-SURVEY-20260903-199,True,
REAL-ARK-SURVEY-20260903-200,True,
REAL-ARK-SURVEY-20260903-201,True,
REAL-ARK-SURVEY-20260903-202,True,
REAL-ARK-SURVEY-20260903-203,True,
REAL-ARK-SURVEY-20260903-204,True,
REAL-ARK-SURVEY-20260903-205,True,
REAL-ARK-SURVEY-20260903-206,True,
REAL-ARK-SURVEY-20260903-207,True,
REAL-ARK-SURVEY-20260903-208,True,
REAL-ARK-SURVEY-20260903-209,True,
REAL-ARK-SURVEY-20260903-210,True,
REAL-ARK-SURVEY-20260903-211,True,
REAL-ARK-SURVEY-20260903-212,True,
REAL-ARK-SURVEY-20260903-213,True,
REAL-ARK-SURVEY-20260903-214,True,
REAL-ARK-SURVEY-20260903-215,True,
REAL-ARK-SURVEY-20260903-216,True,
REAL-ARK-SURVEY-20260903-217,True,
REAL-ARK-SURVEY-20260903-218,True,
REAL-ARK-SURVEY-20260903-219,True,
REAL-ARK-SURVEY-20260903-220,True,
REAL-ARK-SURVEY-20260903-221,True,
REAL-ARK-SURVEY-20260903-222,True,
REAL-ARK-SURVEY-20260903-223,True,
REAL-ARK-SURVEY-20260903-224,True,
REAL-ARK-SURVEY-20260903-225,True,
REAL-ARK-SURVEY-20260903-226,True,
REAL-ARK-SURVEY-20260903-227,True,
REAL-ARK-SURVEY-20260903-228,True,
REAL-ARK-SURVEY-20260903-229,True,
REAL-ARK-SURVEY-20260903-230,True,
REAL-ARK-SURVEY-20260903-231,True,
REAL-ARK-SURVEY-20260903-232,True,
REAL-ARK-SURVEY-20260903-233,True,
REAL-ARK-SURVEY-20260903-234,True,
REAL-ARK-SURVEY-20260903-235,True,
REAL-ARK-SURVEY-20260903-236,True,
REAL-ARK-SURVEY-20260903-237,True,
REAL-ARK-SURVEY-20260903-238,True,
REAL-ARK-SURVEY-20260903-239,True,
REAL-ARK-SURVEY-20260903-240,True,
REAL-ARK-SURVEY-20260903-241,True,
REAL-ARK-SURVEY-20260903-242,True,
REAL-ARK-SURVEY-20260903-243,True,
