item_id,operator,category,first_seen_at,last_seen_at,observation_count,days_observed,first_price,last_price,price_delta,price_change_rate,first_sales_proxy_min,last_sales_proxy_min,sales_proxy_delta,sales_proxy_delta_per_day,first_rank,last_rank,rank_improvement,sales_proxy_censored_any,lifecycle_signal,timeseries_evidence_grade,is_real_public_data
948765508943,凯尔希·思衡托,毛绒玩偶,2026-09-02T03:55:00+00:00,2026-09-02T03:55:00+00:00,1,0,69.0,69.0,0.0,0.0,200.0,200.0,0.0,,4,4,0,True,baseline_pending_recapture,D,True
1056791162275,未归因,其他正版周边,2026-09-02T03:55:00+00:00,2026-09-02T03:55:00+00:00,1,0,139.0,139.0,0.0,0.0,100.0,100.0,0.0,,23,23,0,True,baseline_pending_recapture,D,True
1064807929821,未归因,通行证,2026-09-02T03:55:00+00:00,2026-09-02T03:55:00+00:00,1,0,15.0,15.0,0.0,0.0,100.0,100.0,0.0,,14,14,0,True,baseline_pending_recapture,D,True
989763195959,未归因,吧唧（徽章）,2026-09-02T03:55:00+00:00,2026-09-02T03:55:00+00:00,1,0,106.0,106.0,0.0,0.0,100.0,100.0,0.0,,21,21,0,True,baseline_pending_recapture,D,True
989772699900,新约能天使,毛绒玩偶,2026-09-02T03:46:26+00:00,2026-09-02T03:46:26+00:00,1,0,104.0,104.0,0.0,0.0,100.0,100.0,0.0,,1,1,0,True,baseline_pending_recapture,D,True
990330470001,未归因,吧唧（徽章）,2026-09-02T03:55:00+00:00,2026-09-02T03:55:00+00:00,1,0,106.0,106.0,0.0,0.0,100.0,100.0,0.0,,20,20,0,True,baseline_pending_recapture,D,True
991098521939,未归因,吧唧（徽章）,2026-09-02T03:55:00+00:00,2026-09-02T03:55:00+00:00,1,0,106.0,106.0,0.0,0.0,100.0,100.0,0.0,,5,5,0,True,baseline_pending_recapture,D,True
991101209717,未归因,吧唧（徽章）,2026-09-02T03:55:00+00:00,2026-09-02T03:55:00+00:00,1,0,212.0,212.0,0.0,0.0,100.0,100.0,0.0,,11,11,0,True,baseline_pending_recapture,D,True
991110969935,未归因,亚克力制品,2026-09-02T03:55:00+00:00,2026-09-02T03:55:00+00:00,1,0,123.0,123.0,0.0,0.0,96.0,96.0,0.0,,26,26,0,False,baseline_pending_recapture,D,True
1034076539031,未归因,毛绒玩偶,2026-09-02T03:55:00+00:00,2026-09-02T03:55:00+00:00,1,0,48.9,48.9,0.0,0.0,86.0,86.0,0.0,,34,34,0,False,baseline_pending_recapture,D,True
