file,rows,sha256
data/processed/operator_demand_fusion.csv,60.0,3e6517f9000327cb60d0fe0959fe9520183402c3e7d689862104cb7002134644
data/processed/official_content_scores.csv,37.0,33ac4b2566128abbcee27d22704b041e692239e263c10a2dfd18e5f8815d6f73
data/processed/taobao_public_snapshots.csv,84.0,ed739ae50aee45f0943a6c73b2dffeb24fc2335930380cc517b06e433057e99f
data/processed/survey_243_category_summary.csv,7.0,6c0ec21feb4e3c6176dc467049f37532ab81445e172a7a1f0df8f63a01774454
data/processed/survey_243_profile_summary.csv,1.0,6ec8aac1645847be55cfd229d50b97a61004fe51ba48c4e772e913e25b01efb4
data/processed/survey_243_barrier_summary.csv,10.0,a1f43c4b19fd290d9e60f8f1911a2c3148df1117dc5a8b86f810c979b464275d
data/processed/evidence_inventory.csv,15.0,9005847578ef9426277e0758cb4d3aeaad7e7ff03c61a2baeb6cb87cb31b5105
data/processed/pilot_readiness.csv,7.0,3354c64139b11eaad1cd2bba1e15854c7999d5902aef2de0918bd2cd57eb9f9e
data/processed/pilot_candidate_decisions.csv,2.0,9330bd972980c0cff3be9db373ac31457212532944764d4e47fcc9e564564a04
sql/decision_order_case.sql,,a8d4a30277acba7e0808506604066e1890c39e128f9a8f91d7f1e92004ae8d8b
data/processed/erp_order_headers.csv,6000.0,1d83708acb51672938e0693e2cd96a9bb326c46e518bdf967a7bcde3cc8e43c3
data/processed/erp_order_lines.csv,7652.0,e903101723247d3475286568435dd31e1bfff495b2830debc752a8951caa1469
data/processed/erp_after_sales.csv,392.0,488e7409fc8f3969dc89f10aeb8ab9879793e9d913e317cf34f85352465db18b
